,perc,acc,per
0,0.005,0.0011643702697457792,20172.142578125
1,0.01,0.0011643702697457792,18804.78125
2,0.015,0.00019406171162429653,21377.46875
3,0.02,0.0,14452.349609375
4,0.025,0.0005821851348728896,16875.654296875
5,0.03,0.0,9131.3056640625
6,0.035,0.0019406171162429653,15630.8896484375
7,0.04,0.0,9693.88671875
8,0.045,0.0,10928.5224609375
9,0.05,0.00038812342324859306,14332.2666015625
10,0.055,0.00019406171162429653,35688.37109375
11,0.06,0.00019406171162429653,31712.2421875
12,0.065,0.0,26035.42578125
13,0.07,0.0,15243.86328125
14,0.075,0.0,48001.65234375
15,0.08,0.00019406171162429653,25138.5625
16,0.085,0.0,19857.90625
17,0.09,0.0,21246.416015625
18,0.095,0.00019406171162429653,28487.380859375
